('fuck you', array([[ 0.95598597,  0.04401403]]))
('this book', array([[ 0.09293289,  0.90706711]]))
('the city', array([[ 0.09289923,  0.90710077]]))
('role in', array([[ 0.09288464,  0.90711536]]))
('years of', array([[ 0.09285599,  0.90714401]]))
('much to', array([[ 0.0928149,  0.9071851]]))
('not see', array([[ 0.09280312,  0.90719688]]))
('now the', array([[ 0.09279839,  0.90720161]]))
('the 3rr', array([[ 0.09279735,  0.90720265]]))
('similar to', array([[ 0.09278924,  0.90721076]]))
('glad to', array([[ 0.09275956,  0.90724044]]))
('or not', array([[ 0.09268413,  0.90731587]]))
('first time', array([[ 0.09268319,  0.90731681]]))
('ve already', array([[ 0.09264608,  0.90735392]]))
('to use', array([[ 0.09263313,  0.90736687]]))
('the free', array([[ 0.09263152,  0.90736848]]))
('type of', array([[ 0.09262208,  0.90737792]]))
('the work', array([[ 0.09261614,  0.90738386]]))
('or in', array([[ 0.09260383,  0.90739617]]))
('the movie', array([[ 0.09256101,  0.90743899]]))
('from what', array([[ 0.09254763,  0.90745237]]))
('the links', array([[ 0.09246809,  0.90753191]]))
('the entire', array([[ 0.09245679,  0.90754321]]))
('we had', array([[ 0.09244459,  0.90755541]]))
('the standard', array([[ 0.09243131,  0.90756869]]))
('the map', array([[ 0.09242423,  0.90757577]]))
('reverted the', array([[ 0.0923885,  0.9076115]]))
('it better', array([[ 0.0923221,  0.9076779]]))
('of great', array([[ 0.09232204,  0.90767796]]))
('title of', array([[ 0.09226607,  0.90773393]]))
('it now', array([[ 0.09225096,  0.90774904]]))
('the post', array([[ 0.09219802,  0.90780198]]))
('the encyclopedia', array([[ 0.09217825,  0.90782175]]))
('there isn', array([[ 0.09214867,  0.90785133]]))
('the language', array([[ 0.09214827,  0.90785173]]))
('the issues', array([[ 0.09214445,  0.90785555]]))
('then there', array([[ 0.09213144,  0.90786856]]))
('information on', array([[ 0.09211703,  0.90788297]]))
('not edit', array([[ 0.09210202,  0.90789798]]))
('the statement', array([[ 0.09208883,  0.90791117]]))
('the community', array([[ 0.0920821,  0.9079179]]))
('for 24', array([[ 0.09207354,  0.90792646]]))
('this to', array([[ 0.09207319,  0.90792681]]))
('to say', array([[ 0.09205875,  0.90794125]]))
('the decision', array([[ 0.09205527,  0.90794473]]))
('now but', array([[ 0.09200259,  0.90799741]]))
('move to', array([[ 0.09200001,  0.90799999]]))
('article on', array([[ 0.09198546,  0.90801454]]))
('mention that', array([[ 0.09198382,  0.90801618]]))
('hope this', array([[ 0.09197283,  0.90802717]]))
('in one', array([[ 0.09196041,  0.90803959]]))
('appear to', array([[ 0.0918969,  0.9081031]]))
('2004 dec', array([[ 0.09187826,  0.90812174]]))
('love it', array([[ 0.09185606,  0.90814394]]))
('the security', array([[ 0.09182042,  0.90817958]]))
('this week', array([[ 0.0917768,  0.9082232]]))
('quite the', array([[ 0.09174341,  0.90825659]]))
('agree the', array([[ 0.09173977,  0.90826023]]))
('any rate', array([[ 0.09173034,  0.90826966]]))
('name or', array([[ 0.09168639,  0.90831361]]))
('interest to', array([[ 0.09168253,  0.90831747]]))
('pictures of', array([[ 0.09168227,  0.90831773]]))
('to contribute', array([[ 0.09162006,  0.90837994]]))
('deleted the', array([[ 0.09161806,  0.90838194]]))
('the need', array([[ 0.09161381,  0.90838619]]))
('close to', array([[ 0.09158863,  0.90841137]]))
('work as', array([[ 0.09151632,  0.90848368]]))
('the show', array([[ 0.09150434,  0.90849566]]))
('or maybe', array([[ 0.09144718,  0.90855282]]))
('in most', array([[ 0.09142155,  0.90857845]]))
('that these', array([[ 0.09140668,  0.90859332]]))
('someone please', array([[ 0.09138688,  0.90861312]]))
('am sorry', array([[ 0.09135583,  0.90864417]]))
('how would', array([[ 0.0912826,  0.9087174]]))
('to avoid', array([[ 0.09124649,  0.90875351]]))
('that think', array([[ 0.09122977,  0.90877023]]))
('the reader', array([[ 0.09122862,  0.90877138]]))
('others to', array([[ 0.09122388,  0.90877612]]))
('the photo', array([[ 0.09118894,  0.90881106]]))
('use in', array([[ 0.09110566,  0.90889434]]))
('asked for', array([[ 0.09110255,  0.90889745]]))
('was wondering', array([[ 0.09108324,  0.90891676]]))
('this way', array([[ 0.0910715,  0.9089285]]))
('page but', array([[ 0.09106661,  0.90893339]]))
('we could', array([[ 0.09106053,  0.90893947]]))
('references to', array([[ 0.0909784,  0.9090216]]))
('the cartoons', array([[ 0.09095337,  0.90904663]]))
('of england', array([[ 0.0908909,  0.9091091]]))
('but only', array([[ 0.09087402,  0.90912598]]))
('how do', array([[ 0.09087151,  0.90912849]]))
('experiment use', array([[ 0.09082292,  0.90917708]]))
('realize that', array([[ 0.09079496,  0.90920504]]))
('know more', array([[ 0.09078992,  0.90921008]]))
('sense to', array([[ 0.09078867,  0.90921133]]))
('born in', array([[ 0.09078701,  0.90921299]]))
('edit of', array([[ 0.09076417,  0.90923583]]))
('see for', array([[ 0.09071701,  0.90928299]]))
('it will', array([[ 0.09064317,  0.90935683]]))
('case the', array([[ 0.09060386,  0.90939614]]))
('find the', array([[ 0.09056429,  0.90943571]]))
('the ip', array([[ 0.09053719,  0.90946281]]))
('by any', array([[ 0.09053712,  0.90946288]]))
('to review', array([[ 0.09052875,  0.90947125]]))
('to new', array([[ 0.09044109,  0.90955891]]))
('the validity', array([[ 0.09040615,  0.90959385]]))
('understand it', array([[ 0.09039884,  0.90960116]]))
('another article', array([[ 0.09037276,  0.90962724]]))
('good links', array([[ 0.09035304,  0.90964696]]))
('to more', array([[ 0.0903496,  0.9096504]]))
('aside from', array([[ 0.09033758,  0.90966242]]))
('work to', array([[ 0.09031647,  0.90968353]]))
('the uk', array([[ 0.09030123,  0.90969877]]))
('an email', array([[ 0.09028537,  0.90971463]]))
('given to', array([[ 0.09028074,  0.90971926]]))
('the final', array([[ 0.09027662,  0.90972338]]))
('the change', array([[ 0.09024967,  0.90975033]]))
('it be', array([[ 0.09024059,  0.90975941]]))
('ve read', array([[ 0.09018093,  0.90981907]]))
('but was', array([[ 0.09014375,  0.90985625]]))
('reading the', array([[ 0.09014285,  0.90985715]]))
('but thought', array([[ 0.09014125,  0.90985875]]))
('the kurds', array([[ 0.09012684,  0.90987316]]))
('wikipedia please', array([[ 0.09009317,  0.90990683]]))
('that ve', array([[ 0.09004271,  0.90995729]]))
('post it', array([[ 0.09003806,  0.90996194]]))
('only one', array([[ 0.09002361,  0.90997639]]))
('the table', array([[ 0.09000164,  0.90999836]]))
('tend to', array([[ 0.08993416,  0.91006584]]))
('to include', array([[ 0.08984718,  0.91015282]]))
('having the', array([[ 0.08984295,  0.91015705]]))
('points of', array([[ 0.08980725,  0.91019275]]))
('vote on', array([[ 0.08979826,  0.91020174]]))
('may be', array([[ 0.08978267,  0.91021733]]))
('since we', array([[ 0.08977127,  0.91022873]]))
('the most', array([[ 0.08971245,  0.91028755]]))
('first of', array([[ 0.08970949,  0.91029051]]))
('however the', array([[ 0.08969366,  0.91030634]]))
('we were', array([[ 0.08965282,  0.91034718]]))
('edit summary', array([[ 0.08962464,  0.91037536]]))
('the result', array([[ 0.08960456,  0.91039544]]))
('might as', array([[ 0.08960247,  0.91039753]]))
('that this', array([[ 0.08955662,  0.91044338]]))
('as of', array([[ 0.08951602,  0.91048398]]))
('the others', array([[ 0.08950129,  0.91049871]]))
('how much', array([[ 0.08949983,  0.91050017]]))
('if only', array([[ 0.08948606,  0.91051394]]))
('the former', array([[ 0.08940401,  0.91059599]]))
('the region', array([[ 0.08940209,  0.91059791]]))
('the reasons', array([[ 0.08937875,  0.91062125]]))
('the red', array([[ 0.08934964,  0.91065036]]))
('case it', array([[ 0.08934906,  0.91065094]]))
('was that', array([[ 0.08932233,  0.91067767]]))
('the changes', array([[ 0.0893215,  0.9106785]]))
('created the', array([[ 0.08931708,  0.91068292]]))
('but since', array([[ 0.08930077,  0.91069923]]))
('experiment please', array([[ 0.08928286,  0.91071714]]))
('two different', array([[ 0.08926051,  0.91073949]]))
('but of', array([[ 0.08921941,  0.91078059]]))
('contribution to', array([[ 0.08921817,  0.91078183]]))
('article was', array([[ 0.08921118,  0.91078882]]))
('this section', array([[ 0.08916589,  0.91083411]]))
('open source', array([[ 0.08910722,  0.91089278]]))
('uses the', array([[ 0.08910276,  0.91089724]]))
('article does', array([[ 0.0890478,  0.9109522]]))
('section or', array([[ 0.08904151,  0.91095849]]))
('the arbitration', array([[ 0.08902197,  0.91097803]]))
('the thing', array([[ 0.08898929,  0.91101071]]))
('actual name', array([[ 0.08895882,  0.91104118]]))
('discussion of', array([[ 0.08895483,  0.91104517]]))
('found the', array([[ 0.08890524,  0.91109476]]))
('across the', array([[ 0.08889157,  0.91110843]]))
('see how', array([[ 0.08881943,  0.91118057]]))
('in both', array([[ 0.08881188,  0.91118812]]))
('to justify', array([[ 0.08880179,  0.91119821]]))
('removed the', array([[ 0.08874354,  0.91125646]]))
('say it', array([[ 0.08871893,  0.91128107]]))
('to point', array([[ 0.08868604,  0.91131396]]))
('would take', array([[ 0.08866042,  0.91133958]]))
('were not', array([[ 0.08860594,  0.91139406]]))
('although the', array([[ 0.08859889,  0.91140111]]))
('wikipedia article', array([[ 0.08850037,  0.91149963]]))
('difference between', array([[ 0.08849409,  0.91150591]]))
('the meaning', array([[ 0.08841064,  0.91158936]]))
('wikipedia image', array([[ 0.08840594,  0.91159406]]))
('article naming', array([[ 0.08838759,  0.91161241]]))
('or two', array([[ 0.08834133,  0.91165867]]))
('that both', array([[ 0.08831577,  0.91168423]]))
('we have', array([[ 0.08828754,  0.91171246]]))
('the western', array([[ 0.0882543,  0.9117457]]))
('was it', array([[ 0.08824766,  0.91175234]]))
('link to', array([[ 0.08823381,  0.91176619]]))
('in editing', array([[ 0.0882337,  0.9117663]]))
('name and', array([[ 0.08821286,  0.91178714]]))
('both of', array([[ 0.08815837,  0.91184163]]))
('it can', array([[ 0.08815384,  0.91184616]]))
('the ancient', array([[ 0.08814547,  0.91185453]]))
('after that', array([[ 0.0881376,  0.9118624]]))
('edited the', array([[ 0.08809393,  0.91190607]]))
('create new', array([[ 0.08809295,  0.91190705]]))
('style hope', array([[ 0.0880676,  0.9119324]]))
('the moment', array([[ 0.08805532,  0.91194468]]))
('listening to', array([[ 0.08798625,  0.91201375]]))
('check out', array([[ 0.08797276,  0.91202724]]))
('one to', array([[ 0.08790755,  0.91209245]]))
('the major', array([[ 0.08785729,  0.91214271]]))
('and in', array([[ 0.08783959,  0.91216041]]))
('the manual', array([[ 0.08780524,  0.91219476]]))
('way the', array([[ 0.08778224,  0.91221776]]))
('would know', array([[ 0.08777552,  0.91222448]]))
('the text', array([[ 0.08776115,  0.91223885]]))
('the info', array([[ 0.08775214,  0.91224786]]))
('move the', array([[ 0.08771168,  0.91228832]]))
('articles about', array([[ 0.08765427,  0.91234573]]))
('it without', array([[ 0.0876336,  0.9123664]]))
('this should', array([[ 0.08763177,  0.91236823]]))
('how did', array([[ 0.08757344,  0.91242656]]))
('to follow', array([[ 0.08757064,  0.91242936]]))
('the users', array([[ 0.08756378,  0.91243622]]))
('of both', array([[ 0.08750965,  0.91249035]]))
('or may', array([[ 0.08749278,  0.91250722]]))
('the situation', array([[ 0.08748197,  0.91251803]]))
('the user', array([[ 0.08745828,  0.91254172]]))
('the great', array([[ 0.08745028,  0.91254972]]))
('page which', array([[ 0.08744454,  0.91255546]]))
('the english', array([[ 0.0874206,  0.9125794]]))
('it here', array([[ 0.08741326,  0.91258674]]))
('be bold', array([[ 0.08735488,  0.91264512]]))
('in to', array([[ 0.08734574,  0.91265426]]))
('let it', array([[ 0.08734198,  0.91265802]]))
('this case', array([[ 0.0873374,  0.9126626]]))
('way it', array([[ 0.08733715,  0.91266285]]))
('to as', array([[ 0.08732488,  0.91267512]]))
('see what', array([[ 0.08731487,  0.91268513]]))
('or perhaps', array([[ 0.087307,  0.912693]]))
('not quite', array([[ 0.08727187,  0.91272813]]))
('was made', array([[ 0.08726531,  0.91273469]]))
('the flag', array([[ 0.08725526,  0.91274474]]))
('section should', array([[ 0.08721079,  0.91278921]]))
('name is', array([[ 0.08720348,  0.91279652]]))
('this ip', array([[ 0.08716933,  0.91283067]]))
('it certainly', array([[ 0.08714208,  0.91285792]]))
('section on', array([[ 0.08711357,  0.91288643]]))
('that could', array([[ 0.08704372,  0.91295628]]))
('on there', array([[ 0.08697635,  0.91302365]]))
('redirect to', array([[ 0.08696365,  0.91303635]]))
('how could', array([[ 0.08696235,  0.91303765]]))
('to whom', array([[ 0.08695933,  0.91304067]]))
('to reach', array([[ 0.08694314,  0.91305686]]))
('info to', array([[ 0.08692063,  0.91307937]]))
('in history', array([[ 0.08686268,  0.91313732]]))
('was not', array([[ 0.08682651,  0.91317349]]))
('the controversy', array([[ 0.08682117,  0.91317883]]))
('content of', array([[ 0.08680503,  0.91319497]]))
('that has', array([[ 0.08679161,  0.91320839]]))
('the state', array([[ 0.08678782,  0.91321218]]))
('on this', array([[ 0.0867819,  0.9132181]]))
('it might', array([[ 0.08675992,  0.91324008]]))
('without the', array([[ 0.08675969,  0.91324031]]))
('level of', array([[ 0.08675783,  0.91324217]]))
('article itself', array([[ 0.08675694,  0.91324306]]))
('point but', array([[ 0.08675675,  0.91324325]]))
('the proper', array([[ 0.08675576,  0.91324424]]))
('but this', array([[ 0.08672045,  0.91327955]]))
('the subject', array([[ 0.08671235,  0.91328765]]))
('the comment', array([[ 0.08664799,  0.91335201]]))
('please feel', array([[ 0.08663267,  0.91336733]]))
('meant to', array([[ 0.08660963,  0.91339037]]))
('good idea', array([[ 0.0865886,  0.9134114]]))
('we would', array([[ 0.08657936,  0.91342064]]))
('definition of', array([[ 0.08653802,  0.91346198]]))
('do the', array([[ 0.0865218,  0.9134782]]))
('as for', array([[ 0.08651225,  0.91348775]]))
('new to', array([[ 0.08645997,  0.91354003]]))
('source for', array([[ 0.08645489,  0.91354511]]))
('not use', array([[ 0.08644383,  0.91355617]]))
('also the', array([[ 0.08641606,  0.91358394]]))
('to name', array([[ 0.08640808,  0.91359192]]))
('not know', array([[ 0.08640774,  0.91359226]]))
('the relevant', array([[ 0.08639849,  0.91360151]]))
('removed it', array([[ 0.08638232,  0.91361768]]))
('more about', array([[ 0.08636013,  0.91363987]]))
('also it', array([[ 0.08633806,  0.91366194]]))
('most recent', array([[ 0.08632956,  0.91367044]]))
('the opinions', array([[ 0.08632284,  0.91367716]]))
('to write', array([[ 0.08630892,  0.91369108]]))
('moved the', array([[ 0.08629308,  0.91370692]]))
('be there', array([[ 0.08625244,  0.91374756]]))
('copied from', array([[ 0.08619662,  0.91380338]]))
('the term', array([[ 0.0861817,  0.9138183]]))
('notice the', array([[ 0.08614668,  0.91385332]]))
('the other', array([[ 0.08613252,  0.91386748]]))
('for it', array([[ 0.08606895,  0.91393105]]))
('with any', array([[ 0.08603844,  0.91396156]]))
('the news', array([[ 0.08600002,  0.91399998]]))
('example the', array([[ 0.08595547,  0.91404453]]))
('point the', array([[ 0.0859253,  0.9140747]]))
('wp 3rr', array([[ 0.0859232,  0.9140768]]))
('article without', array([[ 0.08586395,  0.91413605]]))
('states that', array([[ 0.08579898,  0.91420102]]))
('sorry for', array([[ 0.08575362,  0.91424638]]))
('now we', array([[ 0.08571906,  0.91428094]]))
('the actual', array([[ 0.08571727,  0.91428273]]))
('history of', array([[ 0.0857106,  0.9142894]]))
('review the', array([[ 0.08570021,  0.91429979]]))
('to work', array([[ 0.08568481,  0.91431519]]))
('interest in', array([[ 0.08563034,  0.91436966]]))
('mention of', array([[ 0.08557737,  0.91442263]]))
('at wp', array([[ 0.08556523,  0.91443477]]))
('in different', array([[ 0.08553586,  0.91446414]]))
('of style', array([[ 0.0854598,  0.9145402]]))
('this in', array([[ 0.08542683,  0.91457317]]))
('this seems', array([[ 0.08542587,  0.91457413]]))
('would make', array([[ 0.08530599,  0.91469401]]))
('page thank', array([[ 0.08522077,  0.91477923]]))
('removed please', array([[ 0.08518231,  0.91481769]]))
('to mention', array([[ 0.08516044,  0.91483956]]))
('which seems', array([[ 0.08514557,  0.91485443]]))
('vote for', array([[ 0.08512683,  0.91487317]]))
('as possible', array([[ 0.08509176,  0.91490824]]))
('not to', array([[ 0.08504473,  0.91495527]]))
('article after', array([[ 0.08498966,  0.91501034]]))
('the recent', array([[ 0.08495428,  0.91504572]]))
('the third', array([[ 0.08493174,  0.91506826]]))
('but to', array([[ 0.08485606,  0.91514394]]))
('was part', array([[ 0.0848552,  0.9151448]]))
('the points', array([[ 0.08483154,  0.91516846]]))
('at any', array([[ 0.08478152,  0.91521848]]))
('when there', array([[ 0.08476349,  0.91523651]]))
('the press', array([[ 0.08474661,  0.91525339]]))
('the united', array([[ 0.08472207,  0.91527793]]))
('should probably', array([[ 0.08466964,  0.91533036]]))
('can help', array([[ 0.08465065,  0.91534935]]))
('uploading image', array([[ 0.08456073,  0.91543927]]))
('but rather', array([[ 0.08454904,  0.91545096]]))
('the following', array([[ 0.08442775,  0.91557225]]))
('to articles', array([[ 0.08441434,  0.91558566]]))
('ip address', array([[ 0.08438112,  0.91561888]]))
('free to', array([[ 0.08437916,  0.91562084]]))
('ve removed', array([[ 0.08434015,  0.91565985]]))
('to build', array([[ 0.08428557,  0.91571443]]))
('please provide', array([[ 0.08426441,  0.91573559]]))
('or ask', array([[ 0.08423645,  0.91576355]]))
('not understand', array([[ 0.08423153,  0.91576847]]))
('it only', array([[ 0.08422168,  0.91577832]]))
('this may', array([[ 0.08419374,  0.91580626]]))
('make any', array([[ 0.08417936,  0.91582064]]))
('whether or', array([[ 0.08415718,  0.91584282]]))
('to which', array([[ 0.08413677,  0.91586323]]))
('bold in', array([[ 0.08412792,  0.91587208]]))
('sure to', array([[ 0.08412728,  0.91587272]]))
('the party', array([[ 0.08411354,  0.91588646]]))
('edit summaries', array([[ 0.08404553,  0.91595447]]))
('important to', array([[ 0.08398134,  0.91601866]]))
('as though', array([[ 0.08396179,  0.91603821]]))
('removed from', array([[ 0.08396173,  0.91603827]]))
('fine but', array([[ 0.08395511,  0.91604489]]))
('listed at', array([[ 0.08388541,  0.91611459]]))
('did it', array([[ 0.08387402,  0.91612598]]))
('the next', array([[ 0.08385649,  0.91614351]]))
('it had', array([[ 0.08380767,  0.91619233]]))
('the date', array([[ 0.08380758,  0.91619242]]))
('this it', array([[ 0.08376597,  0.91623403]]))
('newcomers the', array([[ 0.0836955,  0.9163045]]))
('the top', array([[ 0.08364748,  0.91635252]]))
('the names', array([[ 0.08364204,  0.91635796]]))
('this talk', array([[ 0.0836248,  0.9163752]]))
('as ve', array([[ 0.08358048,  0.91641952]]))
('to actually', array([[ 0.08357457,  0.91642543]]))
('the pictures', array([[ 0.08355817,  0.91644183]]))
('it at', array([[ 0.08352059,  0.91647941]]))
('which would', array([[ 0.08351966,  0.91648034]]))
('reason to', array([[ 0.08350054,  0.91649946]]))
('know how', array([[ 0.08349873,  0.91650127]]))
('any of', array([[ 0.08348618,  0.91651382]]))
('to only', array([[ 0.08345757,  0.91654243]]))
('questions check', array([[ 0.08340108,  0.91659892]]))
('the wikipedia', array([[ 0.08338668,  0.91661332]]))
('there an', array([[ 0.08338184,  0.91661816]]))
('this discussion', array([[ 0.08335339,  0.91664661]]))
('this address', array([[ 0.0832235,  0.9167765]]))
('and sorry', array([[ 0.08319939,  0.91680061]]))
('page the', array([[ 0.08317885,  0.91682115]]))
('in which', array([[ 0.0830827,  0.9169173]]))
('or it', array([[ 0.08304405,  0.91695595]]))
('the rfc', array([[ 0.08302619,  0.91697381]]))
('the test', array([[ 0.08300981,  0.91699019]]))
('during the', array([[ 0.08297982,  0.91702018]]))
('the difference', array([[ 0.08294229,  0.91705771]]))
('above the', array([[ 0.08288796,  0.91711204]]))
('since it', array([[ 0.08286128,  0.91713872]]))
('the editing', array([[ 0.08285472,  0.91714528]]))
('point of', array([[ 0.08284805,  0.91715195]]))
('to that', array([[ 0.08279955,  0.91720045]]))
('the word', array([[ 0.0827894,  0.9172106]]))
('however it', array([[ 0.08277675,  0.91722325]]))
('derived from', array([[ 0.08275637,  0.91724363]]))
('hope to', array([[ 0.08267027,  0.91732973]]))
('asked to', array([[ 0.08254876,  0.91745124]]))
('did not', array([[ 0.08253012,  0.91746988]]))
('relevant to', array([[ 0.08252673,  0.91747327]]))
('sure if', array([[ 0.0825044,  0.9174956]]))
('but as', array([[ 0.0824648,  0.9175352]]))
('from those', array([[ 0.08244022,  0.91755978]]))
('include the', array([[ 0.08243208,  0.91756792]]))
('know of', array([[ 0.08229963,  0.91770037]]))
('information about', array([[ 0.08227219,  0.91772781]]))
('the more', array([[ 0.08224801,  0.91775199]]))
('that from', array([[ 0.08224448,  0.91775552]]))
('understand what', array([[ 0.08224001,  0.91775999]]))
('the dispute', array([[ 0.08213875,  0.91786125]]))
('but not', array([[ 0.08212503,  0.91787497]]))
('this the', array([[ 0.08211775,  0.91788225]]))
('explain to', array([[ 0.08211615,  0.91788385]]))
('taken the', array([[ 0.0820821,  0.9179179]]))
('chance to', array([[ 0.08207847,  0.91792153]]))
('using it', array([[ 0.08207571,  0.91792429]]))
('article has', array([[ 0.08193632,  0.91806368]]))
('ve done', array([[ 0.08191662,  0.91808338]]))
('would appreciate', array([[ 0.08188631,  0.91811369]]))
('the idea', array([[ 0.08187836,  0.91812164]]))
('article by', array([[ 0.08187385,  0.91812615]]))
('help desk', array([[ 0.08179309,  0.91820691]]))
('mention it', array([[ 0.08179015,  0.91820985]]))
('included in', array([[ 0.08178894,  0.91821106]]))
('it were', array([[ 0.08172161,  0.91827839]]))
('to experiment', array([[ 0.08170001,  0.91829999]]))
('where to', array([[ 0.0816872,  0.9183128]]))
('whether the', array([[ 0.0816658,  0.9183342]]))
('the three', array([[ 0.08166205,  0.91833795]]))
('main article', array([[ 0.08160927,  0.91839073]]))
('it not', array([[ 0.08160328,  0.91839672]]))
('after it', array([[ 0.08158832,  0.91841168]]))
('the population', array([[ 0.0815523,  0.9184477]]))
('mention the', array([[ 0.08155075,  0.91844925]]))
('the song', array([[ 0.0815484,  0.9184516]]))
('the website', array([[ 0.08150742,  0.91849258]]))
('the series', array([[ 0.0812554,  0.9187446]]))
('made in', array([[ 0.0811627,  0.9188373]]))
('section of', array([[ 0.08116242,  0.91883758]]))
('any way', array([[ 0.08114633,  0.91885367]]))
('as good', array([[ 0.08114199,  0.91885801]]))
('this if', array([[ 0.08108217,  0.91891783]]))
('think we', array([[ 0.08099219,  0.91900781]]))
('there no', array([[ 0.08093517,  0.91906483]]))
('to other', array([[ 0.08092817,  0.91907183]]))
('picture of', array([[ 0.08091902,  0.91908098]]))
('though it', array([[ 0.08091892,  0.91908108]]))
('the present', array([[ 0.08084639,  0.91915361]]))
('happened to', array([[ 0.0808188,  0.9191812]]))
('recent edit', array([[ 0.08080697,  0.91919303]]))
('thanks and', array([[ 0.0807459,  0.9192541]]))
('read it', array([[ 0.08072456,  0.91927544]]))
('which was', array([[ 0.08067885,  0.91932115]]))
('by the', array([[ 0.08067367,  0.91932633]]))
('may not', array([[ 0.08065173,  0.91934827]]))
('use it', array([[ 0.08060347,  0.91939653]]))
('an edit', array([[ 0.08058013,  0.91941987]]))
('that if', array([[ 0.08047497,  0.91952503]]))
('were to', array([[ 0.08046332,  0.91953668]]))
('information in', array([[ 0.08046306,  0.91953694]]))
('copyright violation', array([[ 0.08043707,  0.91956293]]))
('how to', array([[ 0.08041726,  0.91958274]]))
('should know', array([[ 0.08029444,  0.91970556]]))
('according to', array([[ 0.08027237,  0.91972763]]))
('that any', array([[ 0.08025261,  0.91974739]]))
('the university', array([[ 0.08023082,  0.91976918]]))
('first paragraph', array([[ 0.08022835,  0.91977165]]))
('the battle', array([[ 0.08019496,  0.91980504]]))
('of any', array([[ 0.08017869,  0.91982131]]))
('the use', array([[ 0.08017185,  0.91982815]]))
('point in', array([[ 0.0801545,  0.9198455]]))
('or any', array([[ 0.08008833,  0.91991167]]))
('please sign', array([[ 0.08008733,  0.91991267]]))
('the previous', array([[ 0.08000464,  0.91999536]]))
('that to', array([[ 0.07998311,  0.92001689]]))
('the chinese', array([[ 0.07992039,  0.92007961]]))
('reference to', array([[ 0.07990057,  0.92009943]]))
('from an', array([[ 0.07987254,  0.92012746]]))
('the sandbox', array([[ 0.07985784,  0.92014216]]))
('it sounds', array([[ 0.07970569,  0.92029431]]))
('from other', array([[ 0.07970257,  0.92029743]]))
('in part', array([[ 0.07966117,  0.92033883]]))
('though the', array([[ 0.07957075,  0.92042925]]))
('the version', array([[ 0.07952889,  0.92047111]]))
('first to', array([[ 0.07950736,  0.92049264]]))
('when the', array([[ 0.07948461,  0.92051539]]))
('for any', array([[ 0.07948086,  0.92051914]]))
('in as', array([[ 0.07945527,  0.92054473]]))
('january 2006', array([[ 0.07943543,  0.92056457]]))
('did to', array([[ 0.07942771,  0.92057229]]))
('would not', array([[ 0.07940683,  0.92059317]]))
('understand that', array([[ 0.07938544,  0.92061456]]))
('note on', array([[ 0.07938069,  0.92061931]]))
('keep the', array([[ 0.07923105,  0.92076895]]))
('around the', array([[ 0.07919709,  0.92080291]]))
('thought it', array([[ 0.07917939,  0.92082061]]))
('article manual', array([[ 0.07915567,  0.92084433]]))
('it probably', array([[ 0.07909633,  0.92090367]]))
('24 hours', array([[ 0.07900274,  0.92099726]]))
('mentioned in', array([[ 0.07895892,  0.92104108]]))
('section the', array([[ 0.07889568,  0.92110432]]))
('an article', array([[ 0.07889442,  0.92110558]]))
('as understand', array([[ 0.07889135,  0.92110865]]))
('december 2005', array([[ 0.07882625,  0.92117375]]))
('from one', array([[ 0.07877197,  0.92122803]]))
('we know', array([[ 0.07876211,  0.92123789]]))
('anyone know', array([[ 0.07870688,  0.92129312]]))
('help pages', array([[ 0.07869645,  0.92130355]]))
('responded to', array([[ 0.07868353,  0.92131647]]))
('the quotes', array([[ 0.07846611,  0.92153389]]))
('it this', array([[ 0.07842673,  0.92157327]]))
('to keep', array([[ 0.07842074,  0.92157926]]))
('believe in', array([[ 0.07837461,  0.92162539]]))
('out there', array([[ 0.07837125,  0.92162875]]))
('please read', array([[ 0.07835674,  0.92164326]]))
('on the', array([[ 0.07832699,  0.92167301]]))
('not believe', array([[ 0.07831908,  0.92168092]]))
('the good', array([[ 0.07829661,  0.92170339]]))
('as if', array([[ 0.07825693,  0.92174307]]))
('we ve', array([[ 0.07825273,  0.92174727]]))
('good but', array([[ 0.07824523,  0.92175477]]))
('discuss the', array([[ 0.07823077,  0.92176923]]))
('section in', array([[ 0.07822173,  0.92177827]]))
('see also', array([[ 0.07819398,  0.92180602]]))
('as we', array([[ 0.07816169,  0.92183831]]))
('source that', array([[ 0.07814454,  0.92185546]]))
('the template', array([[ 0.07809926,  0.92190074]]))
('current version', array([[ 0.07805826,  0.92194174]]))
('the reference', array([[ 0.07800388,  0.92199612]]))
('but at', array([[ 0.07795541,  0.92204459]]))
('that may', array([[ 0.07793488,  0.92206512]]))
('it think', array([[ 0.07784135,  0.92215865]]))
('it more', array([[ 0.07779485,  0.92220515]]))
('or if', array([[ 0.07777568,  0.92222432]]))
('know that', array([[ 0.07776402,  0.92223598]]))
('wp npov', array([[ 0.07774443,  0.92225557]]))
('make sure', array([[ 0.07774344,  0.92225656]]))
('before it', array([[ 0.077738,  0.922262]]))
('version of', array([[ 0.07771553,  0.92228447]]))
('for help', array([[ 0.07769853,  0.92230147]]))
('not if', array([[ 0.07764701,  0.92235299]]))
('information from', array([[ 0.07762006,  0.92237994]]))
('due to', array([[ 0.07761055,  0.92238945]]))
('able to', array([[ 0.077568,  0.922432]]))
('name to', array([[ 0.07744795,  0.92255205]]))
('as know', array([[ 0.0773999,  0.9226001]]))
('article or', array([[ 0.07738593,  0.92261407]]))
('but maybe', array([[ 0.07736918,  0.92263082]]))
