('the article', array([[ 0.99621849,  0.00378151]]))
('their own', array([[ 0.87711703,  0.12288297]]))
('freedom freedom', array([[ 0.87703598,  0.12296402]]))
('get it', array([[ 0.87698237,  0.12301763]]))
('your message', array([[ 0.87689628,  0.12310372]]))
('on wiki', array([[ 0.87681774,  0.12318226]]))
('head of', array([[ 0.87680039,  0.12319961]]))
('collection of', array([[ 0.87665891,  0.12334109]]))
('nigganigga nigga', array([[ 0.87651966,  0.12348034]]))
('nigga nigganigga', array([[ 0.87651966,  0.12348034]]))
('in life', array([[ 0.87644783,  0.12355217]]))
('remove me', array([[ 0.87640684,  0.12359316]]))
('did you', array([[ 0.87632572,  0.12367428]]))
('have nothing', array([[ 0.8762042,  0.1237958]]))
('if you', array([[ 0.87616131,  0.12383869]]))
('site and', array([[ 0.87594354,  0.12405646]]))
('he will', array([[ 0.8758926,  0.1241074]]))
('that out', array([[ 0.8756735,  0.1243265]]))
('fire this', array([[ 0.87565957,  0.12434043]]))
('your posts', array([[ 0.87542263,  0.12457737]]))
('who don', array([[ 0.87541473,  0.12458527]]))
('now is', array([[ 0.87535909,  0.12464091]]))
('yourself drink', array([[ 0.8752473,  0.1247527]]))
('and his', array([[ 0.87506986,  0.12493014]]))
('will probably', array([[ 0.87488602,  0.12511398]]))
('is written', array([[ 0.87474342,  0.12525658]]))
('if your', array([[ 0.87454812,  0.12545188]]))
('bad egg', array([[ 0.87453522,  0.12546478]]))
('stop if', array([[ 0.8744019,  0.1255981]]))
('fggt do', array([[ 0.87411284,  0.12588716]]))
('and even', array([[ 0.87410971,  0.12589029]]))
('web site', array([[ 0.87409743,  0.12590257]]))
('have all', array([[ 0.87396207,  0.12603793]]))
('and nothing', array([[ 0.87392788,  0.12607212]]))
('because this', array([[ 0.87388739,  0.12611261]]))
('down to', array([[ 0.87369401,  0.12630599]]))
('is just', array([[ 0.87346495,  0.12653505]]))
('your ip', array([[ 0.87315106,  0.12684894]]))
('little bit', array([[ 0.87307563,  0.12692437]]))
('are mothjer', array([[ 0.873014,  0.126986]]))
('by wikipedia', array([[ 0.87293808,  0.12706192]]))
('it down', array([[ 0.87279598,  0.12720402]]))
('one of', array([[ 0.87279155,  0.12720845]]))
('wikipedia this', array([[ 0.87273568,  0.12726432]]))
('no such', array([[ 0.87252392,  0.12747608]]))
('message to', array([[ 0.87249636,  0.12750364]]))
('these people', array([[ 0.8724772,  0.1275228]]))
('is even', array([[ 0.87238547,  0.12761453]]))
('your user', array([[ 0.87237102,  0.12762898]]))
('tries to', array([[ 0.87225661,  0.12774339]]))
('refuse to', array([[ 0.8721388,  0.1278612]]))
('of his', array([[ 0.87209687,  0.12790313]]))
('wiki and', array([[ 0.87202326,  0.12797674]]))
('is such', array([[ 0.87186155,  0.12813845]]))
('fucksex fucksex', array([[ 0.87165525,  0.12834475]]))
('stop it', array([[ 0.87159387,  0.12840613]]))
('criminalwar criminalwar', array([[ 0.8715509,  0.1284491]]))
('your comments', array([[ 0.87149611,  0.12850389]]))
('accusing me', array([[ 0.87147984,  0.12852016]]))
('sure you', array([[ 0.87142746,  0.12857254]]))
('you never', array([[ 0.87127482,  0.12872518]]))
('wiki raid', array([[ 0.87110687,  0.12889313]]))
('wikipedia rules', array([[ 0.87110419,  0.12889581]]))
('again will', array([[ 0.87105562,  0.12894438]]))
('you it', array([[ 0.87091567,  0.12908433]]))
('assure you', array([[ 0.87084138,  0.12915862]]))
('is for', array([[ 0.87069864,  0.12930136]]))
('it he', array([[ 0.87065783,  0.12934217]]))
('while you', array([[ 0.87065683,  0.12934317]]))
('can get', array([[ 0.87065393,  0.12934607]]))
('mitt romney', array([[ 0.8706034,  0.1293966]]))
('vandalism muahahahahahahahahahahahahahahahahahaha', array([[ 0.87054832,  0.12945168]]))
('wikipedia in', array([[ 0.87047246,  0.12952754]]))
('tommy2010 is', array([[ 0.86989188,  0.13010812]]))
('old cougar', array([[ 0.86982494,  0.13017506]]))
('or will', array([[ 0.86980542,  0.13019458]]))
('out wikipedia', array([[ 0.86969017,  0.13030983]]))
('that are', array([[ 0.8695634,  0.1304366]]))
('is trying', array([[ 0.86948183,  0.13051817]]))
('your best', array([[ 0.86946567,  0.13053433]]))
('will not', array([[ 0.86909622,  0.13090378]]))
('you use', array([[ 0.8690164,  0.1309836]]))
('makes me', array([[ 0.86898769,  0.13101231]]))
('he she', array([[ 0.86881795,  0.13118205]]))
('it this', array([[ 0.86865838,  0.13134162]]))
('have fun', array([[ 0.8686173,  0.1313827]]))
('is totally', array([[ 0.86853743,  0.13146257]]))
('wikipedia guidelines', array([[ 0.86825527,  0.13174473]]))
('nothing but', array([[ 0.86822706,  0.13177294]]))
('all over', array([[ 0.86808013,  0.13191987]]))
('life of', array([[ 0.86793566,  0.13206434]]))
('your article', array([[ 0.86789011,  0.13210989]]))
('why he', array([[ 0.86778194,  0.13221806]]))
('me this', array([[ 0.86777286,  0.13222714]]))
('for all', array([[ 0.86770776,  0.13229224]]))
('me is', array([[ 0.86751071,  0.13248929]]))
('your request', array([[ 0.86733862,  0.13266138]]))
('people and', array([[ 0.86719794,  0.13280206]]))
('he can', array([[ 0.86707313,  0.13292687]]))
('anything about', array([[ 0.86703754,  0.13296246]]))
('anti semitism', array([[ 0.86701529,  0.13298471]]))
('get back', array([[ 0.86675786,  0.13324214]]))
('ask your', array([[ 0.86664091,  0.13335909]]))
('is what', array([[ 0.86646469,  0.13353531]]))
('cuntbag am', array([[ 0.86607813,  0.13392187]]))
('am cuntbag', array([[ 0.86576112,  0.13423888]]))
('it because', array([[ 0.86572456,  0.13427544]]))
('your talk', array([[ 0.86546443,  0.13453557]]))
('of their', array([[ 0.86511209,  0.13488791]]))
('is real', array([[ 0.86508156,  0.13491844]]))
('wikipedia community', array([[ 0.86508006,  0.13491994]]))
('me come', array([[ 0.86467826,  0.13532174]]))
('the year', array([[ 0.86462351,  0.13537649]]))
('and will', array([[ 0.86461516,  0.13538484]]))
('has ever', array([[ 0.86457211,  0.13542789]]))
('lies and', array([[ 0.86456784,  0.13543216]]))
('they all', array([[ 0.86433955,  0.13566045]]))
('have ever', array([[ 0.86428588,  0.13571412]]))
('and so', array([[ 0.86427988,  0.13572012]]))
('last warning', array([[ 0.8642544,  0.1357456]]))
('this is', array([[ 0.8640636,  0.1359364]]))
('my edit', array([[ 0.86390041,  0.13609959]]))
('is wikipedia', array([[ 0.863894,  0.136106]]))
('about me', array([[ 0.86387849,  0.13612151]]))
('me with', array([[ 0.86386553,  0.13613447]]))
('others are', array([[ 0.86386094,  0.13613906]]))
('care dont', array([[ 0.86341883,  0.13658117]]))
('yourself and', array([[ 0.86333803,  0.13666197]]))
('yes you', array([[ 0.86312959,  0.13687041]]))
('care about', array([[ 0.86309874,  0.13690126]]))
('you disagree', array([[ 0.86307604,  0.13692396]]))
('has nothing', array([[ 0.86300099,  0.13699901]]))
('the big', array([[ 0.86290683,  0.13709317]]))
('and their', array([[ 0.86265711,  0.13734289]]))
('and ruining', array([[ 0.86261296,  0.13738704]]))
('you uploaded', array([[ 0.86211694,  0.13788306]]))
('me so', array([[ 0.86157326,  0.13842674]]))
('people are', array([[ 0.86152123,  0.13847877]]))
('your edits', array([[ 0.86152035,  0.13847965]]))
('row cell', array([[ 0.8614591,  0.1385409]]))
('what kind', array([[ 0.86126403,  0.13873597]]))
('me for', array([[ 0.86120455,  0.13879545]]))
('accuse me', array([[ 0.86088181,  0.13911819]]))
('on earth', array([[ 0.86079613,  0.13920387]]))
('will steal', array([[ 0.860745,  0.139255]]))
('deleted my', array([[ 0.86069324,  0.13930676]]))
('unless you', array([[ 0.86054004,  0.13945996]]))
('your way', array([[ 0.86040563,  0.13959437]]))
('than an', array([[ 0.86039536,  0.13960464]]))
('you check', array([[ 0.86034266,  0.13965734]]))
('excuse me', array([[ 0.86020573,  0.13979427]]))
('and never', array([[ 0.86011598,  0.13988402]]))
('sign your', array([[ 0.86008157,  0.13991843]]))
('yourself so', array([[ 0.85992576,  0.14007424]]))
('right wing', array([[ 0.85974038,  0.14025962]]))
('so don', array([[ 0.85970106,  0.14029894]]))
('as he', array([[ 0.85956805,  0.14043195]]))
('insert your', array([[ 0.85954937,  0.14045063]]))
('everyone else', array([[ 0.85950705,  0.14049295]]))
('answer your', array([[ 0.85944153,  0.14055847]]))
('them all', array([[ 0.85934512,  0.14065488]]))
('people like', array([[ 0.85917915,  0.14082085]]))
('no one', array([[ 0.85893388,  0.14106612]]))
('gayfrozen is', array([[ 0.85892306,  0.14107694]]))
('is gayfrozen', array([[ 0.85892306,  0.14107694]]))
('what the', array([[ 0.8588055,  0.1411945]]))
('him and', array([[ 0.85877835,  0.14122165]]))
('your edit', array([[ 0.85847148,  0.14152852]]))
('yourself to', array([[ 0.8584495,  0.1415505]]))
('here you', array([[ 0.8583277,  0.1416723]]))
('here stop', array([[ 0.8583222,  0.1416778]]))
('your messages', array([[ 0.8582849,  0.1417151]]))
('for you', array([[ 0.85817408,  0.14182592]]))
('she is', array([[ 0.85814624,  0.14185376]]))
('anything else', array([[ 0.85814014,  0.14185986]]))
('from my', array([[ 0.85805295,  0.14194705]]))
('this will', array([[ 0.85781585,  0.14218415]]))
('perhaps you', array([[ 0.85757482,  0.14242518]]))
('what they', array([[ 0.85750347,  0.14249653]]))
('tell me', array([[ 0.85750346,  0.14249654]]))
('bad admin', array([[ 0.85749053,  0.14250947]]))
('your attention', array([[ 0.85726257,  0.14273743]]))
('like an', array([[ 0.85698447,  0.14301553]]))
('get rid', array([[ 0.85643934,  0.14356066]]))
('your test', array([[ 0.85641793,  0.14358207]]))
('which you', array([[ 0.8563284,  0.1436716]]))
('your mind', array([[ 0.85607088,  0.14392912]]))
('you rvv', array([[ 0.85605204,  0.14394796]]))
('away with', array([[ 0.85568815,  0.14431185]]))
('and people', array([[ 0.85558248,  0.14441752]]))
('them are', array([[ 0.85545831,  0.14454169]]))
('me of', array([[ 0.85538054,  0.14461946]]))
('about their', array([[ 0.85533746,  0.14466254]]))
('heil hitler', array([[ 0.85531959,  0.14468041]]))
('will continue', array([[ 0.85509628,  0.14490372]]))
('very little', array([[ 0.85474485,  0.14525515]]))
('and he', array([[ 0.8545248,  0.1454752]]))
('are no', array([[ 0.85451477,  0.14548523]]))
('will come', array([[ 0.85417973,  0.14582027]]))
('such an', array([[ 0.85382701,  0.14617299]]))
('like him', array([[ 0.85349978,  0.14650022]]))
('your block', array([[ 0.85349596,  0.14650404]]))
('down and', array([[ 0.8531666,  0.1468334]]))
('is allowed', array([[ 0.85315602,  0.14684398]]))
('you atheist', array([[ 0.85314794,  0.14685206]]))
('me abusing', array([[ 0.85311268,  0.14688732]]))
('suggest you', array([[ 0.85267739,  0.14732261]]))
('this person', array([[ 0.85245901,  0.14754099]]))
('are probably', array([[ 0.85245891,  0.14754109]]))
('the face', array([[ 0.85210699,  0.14789301]]))
('hanibal911you re', array([[ 0.85136735,  0.14863265]]))
('you made', array([[ 0.8513629,  0.1486371]]))
('just go', array([[ 0.85091426,  0.14908574]]))
('truth and', array([[ 0.85060539,  0.14939461]]))
('my opinion', array([[ 0.85007964,  0.14992036]]))
('you actually', array([[ 0.85006013,  0.14993987]]))
('but your', array([[ 0.84996648,  0.15003352]]))
('next time', array([[ 0.84992431,  0.15007569]]))
('abuse of', array([[ 0.84971803,  0.15028197]]))
('case you', array([[ 0.84958703,  0.15041297]]))
('this place', array([[ 0.84943956,  0.15056044]]))
('don even', array([[ 0.84924394,  0.15075606]]))
('articles you', array([[ 0.8490922,  0.1509078]]))
('romney is', array([[ 0.84871806,  0.15128194]]))
('has no', array([[ 0.84807795,  0.15192205]]))
('that wikipedia', array([[ 0.84791951,  0.15208049]]))
('say you', array([[ 0.84776427,  0.15223573]]))
('to go', array([[ 0.84725939,  0.15274061]]))
('pro assad', array([[ 0.84710222,  0.15289778]]))
('re an', array([[ 0.84705573,  0.15294427]]))
('in wikipedia', array([[ 0.84702165,  0.15297835]]))
('thought you', array([[ 0.84696209,  0.15303791]]))
('you created', array([[ 0.8462969,  0.1537031]]))
('the biggest', array([[ 0.84604793,  0.15395207]]))
('get this', array([[ 0.84578543,  0.15421457]]))
('me down', array([[ 0.84575341,  0.15424659]]))
('and now', array([[ 0.84572007,  0.15427993]]))
('takes it', array([[ 0.84563966,  0.15436034]]))
('of life', array([[ 0.84556628,  0.15443372]]))
('however you', array([[ 0.84553855,  0.15446145]]))
('you continue', array([[ 0.84552148,  0.15447852]]))
('smells like', array([[ 0.84551105,  0.15448895]]))
('is being', array([[ 0.84536426,  0.15463574]]))
('cocks notrhbysouthbanof', array([[ 0.84530256,  0.15469744]]))
('like who', array([[ 0.8450049,  0.1549951]]))
('am an', array([[ 0.84494328,  0.15505672]]))
('gotta go', array([[ 0.84489909,  0.15510091]]))
('your name', array([[ 0.84479751,  0.15520249]]))
('remove my', array([[ 0.84465818,  0.15534182]]))
('are fggt', array([[ 0.84405321,  0.15594679]]))
('with an', array([[ 0.84399042,  0.15600958]]))
('you find', array([[ 0.84377845,  0.15622155]]))
('day and', array([[ 0.843739,  0.156261]]))
('don care', array([[ 0.84361936,  0.15638064]]))
('like the', array([[ 0.84351373,  0.15648627]]))
('is still', array([[ 0.84330604,  0.15669396]]))
('you believe', array([[ 0.84324104,  0.15675896]]))
('inform you', array([[ 0.84272177,  0.15727823]]))
('will take', array([[ 0.84257961,  0.15742039]]))
('guess you', array([[ 0.84237737,  0.15762263]]))
('things you', array([[ 0.84235532,  0.15764468]]))
('nothing to', array([[ 0.84220357,  0.15779643]]))
('my edits', array([[ 0.84208959,  0.15791041]]))
('your comment', array([[ 0.84208029,  0.15791971]]))
('make your', array([[ 0.84188691,  0.15811309]]))
('give me', array([[ 0.84169974,  0.15830026]]))
('him he', array([[ 0.84167143,  0.15832857]]))
('real world', array([[ 0.84159478,  0.15840522]]))
('faith and', array([[ 0.84150928,  0.15849072]]))
('his own', array([[ 0.84145161,  0.15854839]]))
('like mitt', array([[ 0.84144313,  0.15855687]]))
('year old', array([[ 0.84128272,  0.15871728]]))
('people who', array([[ 0.84118649,  0.15881351]]))
('you can', array([[ 0.8411594,  0.1588406]]))
('to all', array([[ 0.84106432,  0.15893568]]))
('who has', array([[ 0.84095621,  0.15904379]]))
('of wikipedia', array([[ 0.84094847,  0.15905153]]))
('than you', array([[ 0.84083093,  0.15916907]]))
('said he', array([[ 0.84061608,  0.15938392]]))
('you appear', array([[ 0.84053157,  0.15946843]]))
('me am', array([[ 0.84036322,  0.15963678]]))
('understand your', array([[ 0.83981621,  0.16018379]]))
('gamaliel enjoys', array([[ 0.83929859,  0.16070141]]))
('my cheese', array([[ 0.83925044,  0.16074956]]))
('blocked me', array([[ 0.83865994,  0.16134006]]))
('them and', array([[ 0.83855239,  0.16144761]]))
('all like', array([[ 0.8385374,  0.1614626]]))
('you at', array([[ 0.83852968,  0.16147032]]))
('you cannot', array([[ 0.83846548,  0.16153452]]))
('you would', array([[ 0.8384297,  0.1615703]]))
('from you', array([[ 0.83834829,  0.16165171]]))
('you style', array([[ 0.83809713,  0.16190287]]))
('my page', array([[ 0.83774015,  0.16225985]]))
('should go', array([[ 0.83737002,  0.16262998]]))
('is is', array([[ 0.83695758,  0.16304242]]))
('shitfuck you', array([[ 0.83682662,  0.16317338]]))
('you said', array([[ 0.8365919,  0.1634081]]))
('one you', array([[ 0.8363366,  0.1636634]]))
('you didn', array([[ 0.83563424,  0.16436576]]))
('are clearly', array([[ 0.83557062,  0.16442938]]))
('think you', array([[ 0.83540414,  0.16459586]]))
('are thieves', array([[ 0.83460516,  0.16539484]]))
('me again', array([[ 0.83450377,  0.16549623]]))
('you ll', array([[ 0.83444716,  0.16555284]]))
('you reported', array([[ 0.83441614,  0.16558386]]))
('revert my', array([[ 0.83419151,  0.16580849]]))
('get an', array([[ 0.83417203,  0.16582797]]))
('whether you', array([[ 0.83413863,  0.16586137]]))
('so your', array([[ 0.83393223,  0.16606777]]))
('am bad', array([[ 0.8337101,  0.1662899]]))
('he wants', array([[ 0.83343091,  0.16656909]]))
('all my', array([[ 0.83306155,  0.16693845]]))
('go ahead', array([[ 0.83277147,  0.16722853]]))
('get the', array([[ 0.83259725,  0.16740275]]))
('tell you', array([[ 0.8323462,  0.1676538]]))
('with my', array([[ 0.83210867,  0.16789133]]))
('come up', array([[ 0.83196847,  0.16803153]]))
('guess what', array([[ 0.83195059,  0.16804941]]))
('is no', array([[ 0.83172703,  0.16827297]]))
('it all', array([[ 0.83171513,  0.16828487]]))
('he and', array([[ 0.83119147,  0.16880853]]))
('and wikipedia', array([[ 0.83076669,  0.16923331]]))
('being an', array([[ 0.83059048,  0.16940952]]))
('by your', array([[ 0.83043236,  0.16956764]]))
('pages you', array([[ 0.83041,  0.16959]]))
('against you', array([[ 0.83008622,  0.16991378]]))
('is because', array([[ 0.82999489,  0.17000511]]))
('know you', array([[ 0.82998584,  0.17001416]]))
('not your', array([[ 0.82992447,  0.17007553]]))
('not vandalism', array([[ 0.82955022,  0.17044978]]))
('time with', array([[ 0.82927466,  0.17072534]]))
('an attack', array([[ 0.82915555,  0.17084445]]))
('will have', array([[ 0.82871666,  0.17128334]]))
('my time', array([[ 0.82851304,  0.17148696]]))
('your page', array([[ 0.82838943,  0.17161057]]))
('explaining your', array([[ 0.828317,  0.171683]]))
('muahahahahahahahahahahahahahahahahahaha you', array([[ 0.82824772,  0.17175228]]))
('deleting my', array([[ 0.8282026,  0.1717974]]))
('who can', array([[ 0.82818702,  0.17181298]]))
('off to', array([[ 0.82811001,  0.17188999]]))
('and don', array([[ 0.82805189,  0.17194811]]))
('you very', array([[ 0.82794868,  0.17205132]]))
('come to', array([[ 0.82754127,  0.17245873]]))
('away and', array([[ 0.82683198,  0.17316802]]))
('information you', array([[ 0.82631619,  0.17368381]]))
('you were', array([[ 0.82569001,  0.17430999]]))
('report you', array([[ 0.82567463,  0.17432537]]))
('my personal', array([[ 0.82516263,  0.17483737]]))
('as you', array([[ 0.82499365,  0.17500635]]))
('person is', array([[ 0.82467897,  0.17532103]]))
('don do', array([[ 0.82412449,  0.17587551]]))
('who have', array([[ 0.82406405,  0.17593595]]))
('article you', array([[ 0.82405815,  0.17594185]]))
('ruining fun', array([[ 0.82391426,  0.17608574]]))
('who will', array([[ 0.82388659,  0.17611341]]))
('can go', array([[ 0.82380693,  0.17619307]]))
('you about', array([[ 0.82340357,  0.17659643]]))
('your recent', array([[ 0.8233308,  0.1766692]]))
('your first', array([[ 0.82315329,  0.17684671]]))
('do what', array([[ 0.822958,  0.177042]]))
('wikipedia and', array([[ 0.8229051,  0.1770949]]))
('vandalism rules', array([[ 0.82272359,  0.17727641]]))
('you know', array([[ 0.82235034,  0.17764966]]))
('hitler heil', array([[ 0.8223467,  0.1776533]]))
('have no', array([[ 0.82234036,  0.17765964]]))
('your time', array([[ 0.82172767,  0.17827233]]))
('produce your', array([[ 0.82171935,  0.17828065]]))
('you again', array([[ 0.82164689,  0.17835311]]))
('rules vandalism', array([[ 0.82111732,  0.17888268]]))
('you read', array([[ 0.821115,  0.178885]]))
('vandalism and', array([[ 0.82089221,  0.17910779]]))
('son of', array([[ 0.82079319,  0.17920681]]))
('tests you', array([[ 0.82072403,  0.17927597]]))
('hope you', array([[ 0.82041995,  0.17958005]]))
('stop adding', array([[ 0.82036742,  0.17963258]]))
('is bad', array([[ 0.82027176,  0.17972824]]))
('wikipedia are', array([[ 0.81994317,  0.18005683]]))
('me like', array([[ 0.81889719,  0.18110281]]))
('are too', array([[ 0.81858736,  0.18141264]]))
('who is', array([[ 0.81839428,  0.18160572]]))
('with his', array([[ 0.818351,  0.181649]]))
('all of', array([[ 0.81681448,  0.18318552]]))
('to stop', array([[ 0.81677732,  0.18322268]]))
('over you', array([[ 0.81577452,  0.18422548]]))
('make me', array([[ 0.81545959,  0.18454041]]))
('you also', array([[ 0.8149483,  0.1850517]]))
('are pigs', array([[ 0.81485911,  0.18514089]]))
('wiki is', array([[ 0.81481685,  0.18518315]]))
('you two', array([[ 0.814749,  0.185251]]))
('this site', array([[ 0.81416929,  0.18583071]]))
('block me', array([[ 0.8128186,  0.1871814]]))
('but you', array([[ 0.81263099,  0.18736901]]))
('real life', array([[ 0.81198532,  0.18801468]]))
('fired you', array([[ 0.81189802,  0.18810198]]))
('stop deleting', array([[ 0.81131937,  0.18868063]]))
('you consider', array([[ 0.81112859,  0.18887141]]))
('is obviously', array([[ 0.81040659,  0.18959341]]))
('you need', array([[ 0.81005095,  0.18994905]]))
('assad hanibal911you', array([[ 0.80995743,  0.19004257]]))
('come out', array([[ 0.80977881,  0.19022119]]))
('make you', array([[ 0.80964917,  0.19035083]]))
('you tell', array([[ 0.80943745,  0.19056255]]))
('stop the', array([[ 0.80908308,  0.19091692]]))
('your userpage', array([[ 0.80907207,  0.19092793]]))
('are just', array([[ 0.80864104,  0.19135896]]))
('because am', array([[ 0.80863509,  0.19136491]]))
('you talking', array([[ 0.80813397,  0.19186603]]))
('where you', array([[ 0.80697794,  0.19302206]]))
('said you', array([[ 0.80685033,  0.19314967]]))
('up and', array([[ 0.80597596,  0.19402404]]))
('have you', array([[ 0.80563992,  0.19436008]]))
('about your', array([[ 0.80533214,  0.19466786]]))
('something you', array([[ 0.80439337,  0.19560663]]))
('you dust', array([[ 0.80371829,  0.19628171]]))
('dont have', array([[ 0.80368247,  0.19631753]]))
('on your', array([[ 0.80283439,  0.19716561]]))
('you this', array([[ 0.80281006,  0.19718994]]))
('about you', array([[ 0.80272602,  0.19727398]]))
('you if', array([[ 0.80238485,  0.19761515]]))
('twat twat', array([[ 0.80200979,  0.19799021]]))
('leave me', array([[ 0.80190287,  0.19809713]]))
('left wing', array([[ 0.8012408,  0.1987592]]))
('wikipedia is', array([[ 0.80110266,  0.19889734]]))
('once you', array([[ 0.80096973,  0.19903027]]))
('you did', array([[ 0.80061664,  0.19938336]]))
('bad faith', array([[ 0.8005111,  0.1994889]]))
('you in', array([[ 0.80042603,  0.19957397]]))
('fart china', array([[ 0.80030705,  0.19969295]]))
('you blocked', array([[ 0.80023045,  0.19976955]]))
('my own', array([[ 0.80007389,  0.19992611]]))
('you as', array([[ 0.80002917,  0.19997083]]))
('delete the', array([[ 0.79972511,  0.20027489]]))
('believe you', array([[ 0.79899454,  0.20100546]]))
('person who', array([[ 0.79861997,  0.20138003]]))
('nothing else', array([[ 0.79844187,  0.20155813]]))
('to your', array([[ 0.79818579,  0.20181421]]))
('are the', array([[ 0.7979589,  0.2020411]]))
('that you', array([[ 0.79792847,  0.20207153]]))
('wiki wikipedia', array([[ 0.79775299,  0.20224701]]))
('and an', array([[ 0.79714709,  0.20285291]]))
('read your', array([[ 0.79690101,  0.20309899]]))
('your argument', array([[ 0.79663995,  0.20336005]]))
('you decide', array([[ 0.79544013,  0.20455987]]))
('dont care', array([[ 0.7952115,  0.2047885]]))
('then go', array([[ 0.79520831,  0.20479169]]))
('all to', array([[ 0.79494976,  0.20505024]]))
('were you', array([[ 0.79449056,  0.20550944]]))
('all these', array([[ 0.79384025,  0.20615975]]))
('you seem', array([[ 0.79358247,  0.20641753]]))
('you that', array([[ 0.7930833,  0.2069167]]))
('nipple nipple', array([[ 0.7925508,  0.2074492]]))
('of wiki', array([[ 0.79252155,  0.20747845]]))
('told you', array([[ 0.79240009,  0.20759991]]))
('is full', array([[ 0.7918989,  0.2081011]]))
('and get', array([[ 0.79150706,  0.20849294]]))
('the head', array([[ 0.79109075,  0.20890925]]))
('stop making', array([[ 0.7907756,  0.2092244]]))
('wikipedia will', array([[ 0.7897438,  0.2102562]]))
('edit you', array([[ 0.7895504,  0.2104496]]))
('you removed', array([[ 0.78928744,  0.21071256]]))
('keep your', array([[ 0.78922334,  0.21077666]]))
('you won', array([[ 0.78919945,  0.21080055]]))
('is an', array([[ 0.78850193,  0.21149807]]))
('re just', array([[ 0.78814609,  0.21185391]]))
('is big', array([[ 0.78795174,  0.21204826]]))
('from your', array([[ 0.78793546,  0.21206454]]))
('you haven', array([[ 0.78752973,  0.21247027]]))
('ban me', array([[ 0.78728628,  0.21271372]]))
('up the', array([[ 0.78725218,  0.21274782]]))
('of vandalism', array([[ 0.78698773,  0.21301227]]))
('you gotta', array([[ 0.78639439,  0.21360561]]))
('you to', array([[ 0.78629859,  0.21370141]]))
('my work', array([[ 0.7862215,  0.2137785]]))
('well you', array([[ 0.786013,  0.213987]]))
('telling me', array([[ 0.78561083,  0.21438917]]))
('you then', array([[ 0.78559728,  0.21440272]]))
('vandalism is', array([[ 0.78453581,  0.21546419]]))
('the nazis', array([[ 0.78435901,  0.21564099]]))
('your opinions', array([[ 0.78428606,  0.21571394]]))
('by you', array([[ 0.78399809,  0.21600191]]))
('you must', array([[ 0.78382768,  0.21617232]]))
('will block', array([[ 0.7837862,  0.2162138]]))
('are and', array([[ 0.78349315,  0.21650685]]))
('you claim', array([[ 0.78329689,  0.21670311]]))
('oh and', array([[ 0.78328446,  0.21671554]]))
('you understand', array([[ 0.78135702,  0.21864298]]))
('also you', array([[ 0.78080347,  0.21919653]]))
('get your', array([[ 0.78045321,  0.21954679]]))
('steal your', array([[ 0.77968473,  0.22031527]]))
('off the', array([[ 0.77960232,  0.22039768]]))
('you so', array([[ 0.77827444,  0.22172556]]))
('my life', array([[ 0.77781666,  0.22218334]]))
('you try', array([[ 0.7769635,  0.2230365]]))
('is so', array([[ 0.77663149,  0.22336851]]))
('for being', array([[ 0.77637365,  0.22362635]]))
('who are', array([[ 0.77600121,  0.22399879]]))
('you got', array([[ 0.77544247,  0.22455753]]))
('you wrote', array([[ 0.77515145,  0.22484855]]))
('it your', array([[ 0.77511932,  0.22488068]]))
('don be', array([[ 0.77499374,  0.22500626]]))
('reason you', array([[ 0.77498569,  0.22501431]]))
('and am', array([[ 0.77493522,  0.22506478]]))
('eat my', array([[ 0.77482198,  0.22517802]]))
('you going', array([[ 0.77467484,  0.22532516]]))
('bla bla', array([[ 0.7727176,  0.2272824]]))
('like this', array([[ 0.77268572,  0.22731428]]))
('you too', array([[ 0.77132151,  0.22867849]]))
('maybe you', array([[ 0.77027829,  0.22972171]]))
('you on', array([[ 0.76915622,  0.23084378]]))
('come on', array([[ 0.76895333,  0.23104667]]))
('ancestryfuck off', array([[ 0.76878974,  0.23121026]]))
('me alone', array([[ 0.76844766,  0.23155234]]))
('you of', array([[ 0.76828691,  0.23171309]]))
('my vandalism', array([[ 0.76624147,  0.23375853]]))
('and dont', array([[ 0.76613476,  0.23386524]]))
('is my', array([[ 0.7659256,  0.2340744]]))
('you aren', array([[ 0.76572549,  0.23427451]]))
('you take', array([[ 0.7654691,  0.2345309]]))
('get me', array([[ 0.76540201,  0.23459799]]))
('of my', array([[ 0.76539812,  0.23460188]]))
('faggot thanks', array([[ 0.76505131,  0.23494869]]))
('are an', array([[ 0.76494599,  0.23505401]]))
('why you', array([[ 0.76379096,  0.23620904]]))
('you remove', array([[ 0.76371326,  0.23628674]]))
('want my', array([[ 0.76263649,  0.23736351]]))
('and are', array([[ 0.76230422,  0.23769578]]))
('your information', array([[ 0.76143873,  0.23856127]]))
('you now', array([[ 0.76125284,  0.23874716]]))
('then you', array([[ 0.76094955,  0.23905045]]))
('act like', array([[ 0.76082513,  0.23917487]]))
('you make', array([[ 0.75986116,  0.24013884]]))
('are so', array([[ 0.75888074,  0.24111926]]))
('you put', array([[ 0.75857775,  0.24142225]]))
('how you', array([[ 0.75764899,  0.24235101]]))
('cougar you', array([[ 0.75689428,  0.24310572]]))
('you be', array([[ 0.7568022,  0.2431978]]))
('it off', array([[ 0.7565812,  0.2434188]]))
('nl33ers hate', array([[ 0.75653223,  0.24346777]]))
('and delete', array([[ 0.75603378,  0.24396622]]))
('hate nl33ers', array([[ 0.75595447,  0.24404553]]))
